CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,24.69,42.98,36.53
2,Female,29.78,39.17,30.39
3,Female,20.07,43.89,23.53
4,Male,27.52,49.14,25.71
5,Male,22.35,38.6,34.08
6,Male,21.04,38.6,25.62
7,Female,24.46,49.48,31.3
8,Female,19.82,44.6,30.27
9,Female,22.23,37.18,26.09
10,Male,19.01,43.26,42.86
11,Male,34.82,37.22,33.8
12,Female,25.18,37.21,17.85
13,Male,21.5,41.45,31.12
14,Male,26.07,28.52,26.03
15,Male,24.44,29.65,35.11
16,Male,23.9,36.63,25.24
17,Female,28.07,33.92,29.31
18,Male,28.79,41.89,33.03
19,Male,22.35,34.55,35.19
20,Male,22.12,31.53,22.8
21,Male,23.62,48.79,27.99
22,Female,18.0,38.65,27.15
23,Female,18.0,40.41,26.08
24,Male,31.83,31.45,40.59
25,Male,33.22,36.73,32.43
26,Male,23.75,40.67,22.43
27,Male,27.88,33.09,35.51
28,Male,26.56,42.25,42.73
29,Male,40.39,36.4,36.19
30,Female,30.6,38.25,20.88
31,Male,24.36,36.39,27.09
32,Female,20.22,51.11,37.6
33,Female,18.0,39.92,25.75
34,Male,26.02,33.65,32.66
35,Female,21.22,44.94,34.65
36,Female,18.0,32.67,24.44
37,Female,21.77,41.25,29.64
38,Female,19.59,28.24,10.55
39,Female,33.44,32.03,23.85
40,Female,29.41,41.18,28.48
41,Male,24.96,44.43,22.51
42,Female,32.4,41.03,39.79
43,Female,25.39,39.31,21.42
44,Female,20.69,38.19,27.36
45,Male,32.62,31.13,30.78
46,Female,27.69,35.68,38.65
47,Male,19.81,37.24,21.38
48,Female,24.05,46.34,36.98
49,Male,20.62,42.06,30.06
50,Male,18.09,29.42,24.11
51,Female,29.63,41.94,32.77
52,Female,34.55,37.69,31.19
53,Male,18.01,35.94,26.4
54,Female,27.81,43.67,30.42
55,Male,21.75,46.19,27.69
56,Male,22.56,45.59,30.68
57,Male,22.04,34.96,33.97
58,Male,20.68,38.14,39.52
59,Male,25.24,41.99,22.57
60,Female,20.85,45.85,42.8
61,Male,26.35,37.12,18.29
62,Male,24.75,38.89,29.09
63,Female,23.81,33.36,33.53
64,Male,20.46,32.82,31.69
65,Female,22.12,44.88,26.26
66,Female,28.78,48.14,28.75
67,Female,27.5,39.57,27.04
68,Male,20.11,46.02,26.46
69,Male,25.5,42.17,35.1
70,Male,28.76,36.13,32.14
71,Female,18.0,42.17,25.84
72,Male,27.72,49.23,35.4
73,Female,21.69,39.79,31.84
74,Male,27.85,49.39,34.88
75,Female,21.18,24.28,33.78
76,Male,18.0,44.93,25.03
77,Male,18.0,40.52,26.64
78,Male,25.24,38.21,34.48
79,Female,26.3,40.55,33.66
80,Female,20.48,28.07,29.87
81,Male,28.19,38.68,30.7
82,Male,18.0,42.14,37.67
83,Female,24.67,48.87,26.45
84,Female,18.94,36.89,33.28
85,Female,21.74,35.15,28.79
86,Male,25.24,36.99,28.69
87,Female,20.7,45.49,36.59
88,Male,23.08,41.97,34.95
89,Female,30.03,36.82,34.88
90,Male,22.12,43.08,37.83
91,Female,29.18,40.58,30.13
92,Female,19.35,45.81,34.09
93,Female,27.65,35.79,28.14
94,Female,32.21,38.03,31.94
95,Female,18.0,37.65,29.22
96,Male,21.02,31.22,30.58
97,Female,27.89,41.78,33.57
98,Female,23.98,41.57,25.09
99,Female,26.86,40.03,42.55
100,Male,21.98,38.59,23.96
101,Female,25.43,31.51,22.71
102,Male,24.22,37.48,36.95
103,Female,30.84,37.94,34.75
104,Female,26.27,35.19,33.74
105,Male,26.69,39.03,33.77
106,Female,22.94,42.42,29.93
107,Male,22.56,51.32,24.62
108,Male,22.84,41.05,30.45
109,Female,26.97,41.55,25.94
110,Male,22.9,39.55,35.85
111,Female,26.45,28.49,29.12
112,Female,35.38,39.84,25.05
113,Male,29.36,40.36,28.07
114,Male,23.37,54.78,32.48
115,Male,31.01,38.85,26.62
116,Male,22.96,41.81,25.07
117,Female,18.0,39.79,31.46
118,Female,19.96,32.99,31.47
119,Male,18.0,46.86,26.96
120,Female,23.24,44.51,27.17
121,Female,25.09,44.75,31.39
122,Female,33.38,34.54,21.31
123,Female,26.63,48.42,21.56
124,Male,23.9,31.59,25.69
125,Male,29.15,43.52,28.72
126,Female,18.0,53.14,31.87
